,Unnamed: 0,user_id,session_no,session_question_no,learning_node_question_no,question_number_of_choice,is_new_session_id,is_new_topic,is_new_subtopic,is_new_learningnode,is_new_questionid,is_new_session_question_no,is_new_learning_node_question_no,row_id,is_new_session_id_n_new_topic,is_new_session_id_n_new_subtopic,is_new_session_id_n_new_learningnode,is_new_session_id_n_new_questionid,is_new_topic_n_new_subtopic,is_new_topic_n_new_learningnode,is_new_topic_n_new_questionid,is_new_subtopic_n_new_learningnode,is_new_subtopic_n_new_questionid,is_new_learning_node_n_questionid,question_type_Multi choice,question_type_Single choice,question_difficulty_easy,question_difficulty_hard,question_difficulty_hots,question_difficulty_medium,n_topic,n_subtopic,n_learningnode,n_questionid,prob_correct,n_prob_correct
25,25,39872536,3.0,1,1,4,1,1,1,1,1,1,1,25,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
26,26,41319137,2.0,7,1,5,1,0,1,1,1,1,1,26,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0.2,0.2
27,27,42096182,1.0,2,1,5,1,1,0,1,1,1,1,27,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
28,28,44990149,2.0,3,3,4,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
29,29,46934439,2.0,2,1,5,1,1,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
30,30,48494393,2.0,9,3,5,1,1,1,1,1,1,1,30,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
31,31,48564174,3.0,10,2,3,1,1,0,1,1,1,1,31,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
32,32,50249067,4.0,6,3,5,1,1,1,1,1,1,1,32,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
33,33,50595276,1.0,10,2,5,1,1,1,1,1,1,1,33,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
34,34,53501860,1.0,6,3,4,1,1,1,1,1,1,1,34,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
35,35,58343548,4.0,15,1,4,1,1,1,1,1,1,1,35,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
36,36,58857402,4.0,4,1,4,1,1,1,1,1,1,1,36,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
37,37,60266948,2.0,1,1,4,1,1,1,1,1,1,1,37,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
38,38,62760376,2.0,1,1,5,1,1,1,1,1,1,1,38,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
39,39,64740280,10.0,14,2,5,1,1,1,1,1,1,1,39,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
40,40,65410125,9.0,2,2,4,1,1,1,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
41,41,67164173,2.0,6,2,4,1,1,1,1,1,1,1,41,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
42,42,67648438,2.0,14,2,5,1,1,0,1,1,1,1,42,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
43,43,68477890,2.0,1,1,5,1,1,1,1,1,1,1,43,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
44,44,70380209,1.0,2,1,4,1,1,1,1,1,1,1,44,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
45,45,74221019,1.0,6,1,4,1,1,1,1,1,1,1,45,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
46,46,74889967,4.0,3,1,5,1,0,0,1,1,1,1,46,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
47,47,77172265,3.0,6,2,5,1,1,0,1,1,1,1,47,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
48,48,79246003,1.0,14,2,5,1,1,1,1,1,1,1,48,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
49,49,79856441,1.0,15,3,5,1,1,1,1,1,1,1,49,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
50,50,80185826,1.0,8,1,4,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
51,51,82879931,3.0,2,2,4,1,1,0,1,1,1,1,51,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
52,52,86000037,64.0,10,2,4,1,1,0,1,1,1,1,52,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
53,53,86166839,5.0,9,3,5,1,1,1,1,1,1,1,53,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
54,54,89271543,3.0,1,1,3,1,0,0,1,1,1,1,54,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
55,55,89335588,2.0,2,2,4,1,1,1,1,1,1,1,55,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
56,56,91194650,2.0,7,1,3,1,0,0,0,1,1,1,56,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
57,57,91355488,3.0,12,2,3,1,1,0,1,1,1,1,57,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
58,58,92165017,1.0,18,3,5,1,1,1,1,1,1,1,58,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
59,59,92363799,1.0,6,2,4,1,1,1,1,1,1,1,59,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
60,60,93071526,5.0,2,2,4,1,1,0,1,1,1,1,60,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
61,61,95019986,14.0,8,2,4,1,1,0,1,1,1,1,61,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
62,62,95869781,1.0,2,1,5,1,1,1,1,1,1,1,62,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
63,63,95938792,8.0,5,1,4,1,1,1,1,1,1,1,63,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
64,64,96319523,1.0,5,1,4,1,0,1,1,1,1,1,64,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
65,65,98413367,4.0,12,1,5,1,1,0,1,1,1,1,65,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
66,66,98451602,6.0,15,3,5,1,1,1,1,1,1,1,66,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
67,67,98591178,3.0,3,1,4,1,1,0,1,1,1,1,67,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
68,68,100512656,2.0,1,1,4,1,1,0,1,1,1,1,68,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
69,69,100892115,9.0,20,2,3,1,1,0,1,1,1,1,69,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
70,70,102548374,1.0,3,3,5,1,1,1,1,1,1,1,70,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
71,71,104481352,1.0,12,2,4,1,1,1,1,1,1,1,71,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
72,72,105776585,1.0,3,3,4,1,1,0,1,1,1,1,72,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
73,73,109257228,2.0,6,2,4,1,1,0,1,1,1,1,73,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
74,74,110251125,1.0,4,1,4,1,1,1,1,1,1,1,74,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
75,75,110632868,5.0,3,1,4,1,0,0,0,0,1,0,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.25,0.25
76,76,110790455,2.0,8,1,5,1,1,1,1,1,1,1,76,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
77,77,111833181,1.0,3,1,4,1,0,1,1,1,1,1,77,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
78,78,112448582,2.0,2,2,3,1,1,0,1,1,1,1,78,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
79,79,114859822,42.0,12,2,4,1,1,0,1,1,1,1,79,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
80,80,116765084,11.0,9,1,5,1,1,0,1,1,1,1,80,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
81,81,118602603,32.0,3,1,3,1,1,0,1,1,1,1,81,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
82,82,118994603,1.0,8,2,5,1,1,1,1,1,1,1,82,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
83,83,119984285,15.0,1,1,4,1,1,1,1,1,1,1,83,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
84,84,120652811,1.0,3,1,5,1,1,1,1,1,1,1,84,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
85,85,122624186,1.0,2,2,5,1,1,1,1,1,1,1,85,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
86,86,123456115,3.0,3,1,5,1,0,0,1,1,1,1,86,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
87,87,125984093,4.0,6,3,5,1,1,1,1,1,1,1,87,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
88,88,129081852,1.0,6,3,4,1,1,1,1,1,1,1,88,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
89,89,129768963,8.0,6,2,4,1,1,0,1,1,1,1,89,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
90,90,130371039,34.0,1,1,3,1,1,0,1,1,1,1,90,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
91,91,130378427,2.0,17,1,4,1,1,1,1,1,1,1,91,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
92,92,135611641,5.0,4,1,4,1,1,0,1,1,1,1,92,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
93,93,135940810,1.0,2,1,4,1,1,1,1,1,1,1,93,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
94,94,137369550,2.0,1,1,4,1,1,1,1,1,1,1,94,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
95,95,139305005,27.0,1,1,5,1,0,0,0,0,1,0,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.2,0.2
96,96,139918692,6.0,3,1,5,1,0,0,0,0,1,0,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.2,0.2
97,97,141429683,1.0,9,3,5,1,1,1,1,1,1,1,97,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0.2,0.2
98,98,142309526,2.0,6,1,5,1,1,1,1,1,1,1,98,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
99,99,146951836,6.0,15,1,4,1,1,1,1,1,1,1,99,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
100,100,147295313,27.0,12,2,3,1,1,0,1,1,1,1,100,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
101,101,148348917,3.0,6,3,5,1,1,1,1,1,1,1,101,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
102,102,148744428,1.0,3,1,4,1,1,1,1,1,1,1,102,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
103,103,149369525,36.0,1,1,3,1,1,0,1,1,1,1,103,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
104,104,150525623,12.0,1,1,4,1,1,1,1,1,1,1,104,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
105,105,150947684,9.0,6,2,3,1,1,0,1,1,1,1,105,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
106,106,151983123,2.0,10,2,5,1,1,1,1,1,1,1,106,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
107,107,152246731,23.0,3,1,3,1,0,0,1,1,1,1,107,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
108,108,152734640,3.0,10,2,4,1,1,1,1,1,1,1,108,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0.25,0.25
109,109,155029842,1.0,3,1,5,1,1,1,1,1,1,1,109,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
110,110,156542915,4.0,6,2,4,1,1,0,1,1,1,1,110,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
111,111,156786778,11.0,3,1,4,1,1,1,1,1,1,1,111,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
112,112,159287847,1.0,12,1,5,1,0,0,1,1,1,1,112,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
113,113,159565945,1.0,2,2,4,1,1,0,1,1,1,1,113,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
114,114,159637033,1.0,12,1,4,1,1,1,1,1,1,1,114,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
115,115,160922396,18.0,6,3,4,1,0,0,1,1,1,1,115,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
116,116,161462376,2.0,7,1,5,1,1,1,1,1,1,1,116,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.2,0.2
117,117,161543570,1.0,3,1,3,1,1,0,1,1,1,1,117,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
118,118,162344654,34.0,2,2,4,1,1,0,1,1,1,1,118,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
119,119,168023524,1.0,17,1,4,1,0,1,1,1,1,1,119,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
120,120,168625797,2.0,3,1,5,1,1,1,1,1,1,1,120,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
121,121,169249063,4.0,1,1,4,1,1,1,1,1,1,1,121,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
122,122,169429771,2.0,4,1,3,1,1,0,1,1,1,1,122,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
123,123,173660782,2.0,13,1,5,1,1,1,1,1,1,1,123,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
124,124,175768950,1.0,6,1,5,1,1,0,1,1,1,1,124,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
125,125,176653187,9.0,7,1,5,1,1,1,1,1,1,1,125,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
126,126,178615371,2.0,6,3,4,1,1,1,1,1,1,1,126,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
127,127,180641429,1.0,3,1,3,1,1,0,1,1,1,1,127,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
128,128,182482486,2.0,3,3,5,1,1,1,1,1,1,1,128,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
129,129,183859530,1.0,2,2,4,1,0,1,1,1,1,1,129,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
130,130,184046469,2.0,15,1,4,1,0,1,1,1,1,1,130,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
131,131,184531359,1.0,3,3,5,1,1,1,1,1,1,1,131,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
132,132,185604947,28.0,1,1,4,1,1,0,1,1,1,1,132,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
133,133,186090261,2.0,14,2,4,1,1,0,1,1,1,1,133,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
134,134,188617987,1.0,6,3,4,1,0,1,1,1,1,1,134,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
135,135,190501569,1.0,9,3,5,1,1,1,1,1,1,1,135,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
136,136,195804085,22.0,16,2,3,1,1,0,1,1,1,1,136,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
137,137,196099622,3.0,15,1,4,1,1,1,1,1,1,1,137,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
138,138,196657584,1.0,15,1,4,1,1,1,1,1,1,1,138,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
139,139,198969975,1.0,6,1,4,1,1,1,1,1,1,1,139,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
140,140,199336132,1.0,10,2,4,1,1,0,1,1,1,1,140,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
141,141,199796999,2.0,7,1,5,1,0,1,1,1,1,1,141,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
142,142,200005491,3.0,12,1,5,1,0,0,0,1,1,0,142,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.2,0.2
143,143,200329279,2.0,13,1,3,1,1,0,1,1,1,1,143,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
144,144,201809792,3.0,5,2,4,1,0,1,1,1,1,1,144,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
145,145,205826289,2.0,10,1,3,1,0,0,1,1,1,1,145,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
146,146,206444980,1.0,20,2,3,1,1,0,1,1,1,1,146,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
147,147,206704420,4.0,14,2,3,1,1,0,1,1,1,1,147,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.3333333333333333,0.3333333333333333
148,148,207003400,1.0,3,3,4,1,1,1,1,1,1,1,148,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
149,149,208003547,4.0,2,1,5,1,0,0,0,0,1,0,149,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.2,0.2
150,150,210548459,3.0,1,1,5,1,0,1,1,1,1,1,150,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
151,151,212822383,19.0,5,1,4,1,0,1,1,1,1,1,151,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0.25,0.25
152,152,215622004,1.0,4,2,4,1,1,1,1,1,1,1,152,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
153,153,216047586,18.0,6,3,4,1,0,1,1,1,1,1,153,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
154,154,217549724,1.0,2,2,5,1,1,1,1,1,1,1,154,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.2,0.2
155,155,218433295,1.0,2,1,5,1,0,0,0,0,1,0,155,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.2,0.2
156,156,221178787,32.0,3,1,5,1,0,0,0,0,1,0,156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.2,0.2
157,157,223600223,6.0,3,3,4,1,1,0,1,1,1,1,157,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0.25,0.25
